NA Team,CN Team,Season,Winner,Win Margin (in thousands)
TSM,OMG,3,CN,11.9
TSM,OMG,3,CN,23.2
C9,OMG,4,NA,-19.7
C9,OMG,4,CN,13.9
C9,OMG,4,CN,15.3
TSM,SHR,4,CN,15.6
TSM,SHR,4,NA,-5.5
LMQ,OMG,4,NA,-14.3
LMQ,OMG,4,CN,20.6
TSM,EDG,5,CN,16.2
TSM,LGD,5,NA,-7.3
TSM,LGD,5,CN,15.6
C9,IG,5,NA,-11
C9,IG,5,CN,16.4
CLG,RNG,6,CN,2.7
CLG,RNG,6,NA,5.3
TSM,RNG,6,CN,8.3
TSM,RNG,6,CN,10.1
C9,IM,6,NA,-10.8
C9,IM,6,NA,-16.5
TSM,WE,7,NA,-10.9
TSM,WE,7,CN,14
TSM,WE,7,NA,-9.6
TSM,WE,7,CN,13.3
C9,EDG,7,NA,-16.5
C9,EDG,7,CN,13.3
C9,WE,7,CN,2.8
C9,WE,7,NA,-8.7
C9,WE,7,NA,-13.7
C9,WE,7,CN,13.7
C9,WE,7,CN,12.6
