NA Team	KR Team	Season	Winner	Win Margin (in thousands)
TSM	SKT	3	KR	12.6
TSM	SKT	3	KR	13.7
VUL	SSO	3	KR	10.3
VUL	SSO	3	KR	12.1
C9	SKT	4	KR	19.2
C9	NWS	4	KR	17.1
C9	NWS	4	N A	-0.3
C9	NWS	4	KR	15.3
LMQ	SSB	4	KR	22.8
LMQ	SSB	4	KR	19
TSM	SSW	4	KR	8.2
TSM	SSW	4	KR	21.6
TSM	SSW	4	N A	-13.2
TSM	SSW	4	KR	18.5
C9	SSB	4	N A	-21.7
C9	SSB	4	KR	20.6
C9	SSB	4	KR	16.3
C9	SSB	4	KR	10
TSM	SKT	5	KR	17
TSM	KT	5	KR	14.4
TSM	KT	5	KR	10
CLG	KOO	5	KR	15.9
CLG	KOO	5	KR	16.2
CLG	SKT	6	N A	-1.8
CLG	SKT	6	KR	4.1
CLG	SKT	6	KR	2.9
CLG	SKT	6	KR	12.2
CLG	SKT	6	KR	21.7
TSM	SSG	6	N A	-19.6
TSM	SSG	6	KR	8.6
C9	SKT	6	KR	16.6
C9	SKT	6	KR	12
CLG	ROX	6	N A	-17.1
CLG	ROX	6	KR	13.7
C9	SSG	6	KR	15.6
C9	SSG	6	KR	11.1
C9	SSG	6	KR	11.6
TSM	SKT	7	KR	20.8
TSM	SKT	7	KR	19.1
C9	SKT	7	KR	13.3
C9	SKT	7	KR	6.8
IMT	LZ	7	KR	8.7
IMT	LZ	7	KR	16.6
